Amount of Meet-ups,Matches per day,Gender
0,0,Female
1-3,0,Female
1-3,10,Female
10-15,3,Female
4-8,3,Female
0,0,Female
4-8,10,Female
4-8,0,Female
1-3,0,Female
0,0,Female
0,10,Female
1-3,0,Female
N/A,10,Male
10-15,0,Male
1-3,0,Female
1-3,0,Female
N/A,30,Female
1-3,3,Female
20+,0,Male
N/A,0,Female
N/A,7,Female
0,5,Female
10-15,5,Female
4-8,0,Female
0,20,Male
1-3,0,Female
1-3,1,Male
10-15,50,Male
1-3,2,Female
0,1,Male
4-8,15,Male
0,0,Female
N/A,0,Female
1-3,10,Female
0,5,Female
10-15,5,Female
1-3,4,Female
4-8,0,Male
10-15,5,Male
1-3,5,Female
1-3,2,Female
4-8,0,Male
0,0,Male
20+,5,Female
20+,10,Male
1-3,0,Male
4-8,0,Female
4-8,0,Female
0,0,Female
1-3,3,Female
1-3,0,Female
N/A,4,Female
10-15,0,Male
N/A,0,Female
N/A,0,Female
N/A,20,Female
10-15,0,Female
10-15,0,Female
4-8,3,Female
1-3,5,Female
1-3,0,Female
N/A,0,Male
0,0,Male
0,0,Male
N/A,3,Male
1-3,0,Male
1-3,0,Female
N/A,0,Female
0,0,Female
N/A,20,Female
10-15,0,Female
N/A,0,Female
N/A,0,Female
N/A,5,Female
1-3,0,Male
N/A,5,Male
20+,2,Male
4-8,10,Male
4-8,0,Male
N/A,1,Female
10-15,0,Male
N/A,6,Male
1-3,4,Male
1-3,1,Male
20+,10,Male
4-8,0,Female