Timestamp,How old are you? (Numbers only 17-25),Age_Range,What is your gender?,Please specify your ethnicity.,Which online dating platforms have you used?,Which online dating platforms are you currently active on?,"How many times have you met up with someone from an online dating platform? (Please provide a number or write ""not applicable"")","If you have met up with someone, did you stay connected and/or met up with them again?",Do you have a premium subscription of an online dating account?,"These apps usually require you to add at most five descriptors about you (ex: foodie, dogs, movies, dance, tennis). If you have a dating app, please list yours separated by commas. Else, write ""not applicable"".","What are some qualities/descriptor words that make someone else's profile stand out to you? (""not applicable"" otherwise)",What interest categories are the most important to you?,What vices of these would be turn-offs for you?,What vices of these would be turn-ons for you?,Are any of these traits important to you while looking at someone's profile?,"How many matches do you get per day? (Number or range of numbers only) (""not applicable"" otherwise)",How long do you spend on the app per day? (approx.),Reason,"Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [2nd]","Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [3rd]","Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [4th]","What personal 'red-flags' on someone else's profile would make you swipe left? (Ex. 'listens to drake', 'has too many selfies', 'is not religious')","In your opinion/experience, what is the biggest flaw with dating apps?","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [1st]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [2nd]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [3rd]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [4th]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [5th]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [6th]","In your opinion/experience, where have you found the most success in finding a relationship?",,,,,Age range,"Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [1st]"
10/26/2021 9:41:28,24,24-26,Female,"Caucasian, Asian","Tinder, Hinge",None,3,No,No,Currently don’t have any apps,"Liberal, height, Asian","Staying in, Traveling, Values & traits",Republicans,Drinking,"Work / Job title, School / Education level, Religious beliefs, Politics, Height, Ethnicity, Covid vaccine",5,Less than 1 hour,Entertainment,To meet new people,For a relationship,For casual hookups,Is a moderate or conservative,"That people are always looking
For a quick hook up. ",Intelligence,Sincerity,Attractiveness,Interests,Ambition,Fun,Mutual Friends,,,,,24-26,Entertainment
10/26/2021 12:47:56,21,20-21,Male,"Caucasian, Jewish ","Tinder, Bumble, Hinge, Jswipe",Hinge,8,Yes,No,"Outdoors, music, mental health awareness, going out, travel ","Outdoors, LGBTQIA+, music ","Creativity, Going out, Reading, Traveling, Values & traits",Smoking,"Drinking, Marijuana, Drugs","School / Education level, Age, Location",2,Less than 1 hour,For a relationship,To meet new people,For casual hookups,Entertainment,"Can’t see their face, no photos alone, something about beating me in Mario kart",It sorts by attractiveness ,Fun,Sincerity,Intelligence,Attractiveness,Ambition,Interests,Mutual Friends,,,,,20-21,For a relationship
10/26/2021 12:50:24,24,24-26,Male,Caucasian,"Tinder, Bumble, Hinge, Going out lol",None,0,No,No,"Photography, army, plants, plants, plants",Kind words,Values & traits,Not applicable,Marijuana,"Religious beliefs, Gender / Pronouns / Sexuality, Age, Location, Ethnicity, Do you like plants?",Not applicable ,Not applicable,To meet new people,For casual hookups,For a relationship,Entertainment,"Pink hair, reptiles in the photos",All based on photos. No real judgement ,Interests,Intelligence,Ambition,Sincerity,Fun,Attractiveness,Chance encounters,,,,,24-26,To meet new people
10/26/2021 12:57:25,23,22-23,Female,Latino / Hispanic / Latinx / Latina,"Tinder, Bumble",None,43,Yes,No,"Food, history, movies, dogs, birds ",Funny profiles ,"Creativity, Going out, Staying in, Film & TV, Reading, Music, Food & drink, Traveling",Smoking,Marijuana,"Work / Job title, School / Education level, Age, Location",Not applicable ,Not applicable,For casual hookups,For a relationship,Entertainment,To meet new people,"Is religious, likes Trump",N/a,Attractiveness,Intelligence,Interests,Fun,Sincerity,Ambition,Mutual Friends,,,,,22-23,For casual hookups
10/26/2021 13:03:18,22,22-23,Male,Caucasian,"Tinder, Hinge, Grindr","Tinder, Grindr",297,Yes,No,"6’3, 205lbs, toned, vers top, HIV- on PrEP, ","5’11, 180lbs, muscular, vers bottom, HIV- on PrEP","Going out, Staying in, Film & TV, Food & drink, Traveling",Drugs,"Drinking, Marijuana","School / Education level, Gender / Pronouns / Sexuality, Age, Height, Location, Covid vaccine",5,1 hour,Entertainment,For a relationship,For casual hookups,To meet new people,"Mentioning religion, has a partner and looking for a third, says “looking for a sugar baby to spoil” (they’re usually lying)",People not wanting to meet up,Attractiveness,Interests,Intelligence,Fun,Sincerity,Ambition,Dating Apps,,,,,22-23,Entertainment
10/26/2021 14:18:20,22,22-23,Male,Caucasian,"Tinder, Bumble",Tinder,2,No,No,"Music, working out, gaming",Gamer,"Music, Values & traits","Smoking, Drugs",Marijuana,"Gender / Pronouns / Sexuality, Age, Location, If they have children, Covid vaccine",10,Less than 1 hour,To meet new people,For a relationship,For casual hookups,Entertainment,"If the office is their favorite show, tall guys only",Having to pay,Fun,Interests,Attractiveness,Intelligence,Sincerity,Ambition,Mutual Friends,,,,,22-23,To meet new people
10/26/2021 17:00:36,21,20-21,Female,African American,"Tinder, Bumble, Hinge",Tinder,4,Yes,No,Not applicable ,"Traveling, bilingual, passion for social justice","Creativity, Reading, Music, Food & drink, Traveling","Drinking, Smoking, Marijuana, Drugs",Not applicable,"School / Education level, Politics, Age, Ethnicity",Not applicable,Less than 1 hour,For a relationship,To meet new people,Entertainment,For casual hookups,"Republican/conservative, picture of them with a fish","Their algorithm is pretty bad, they're very superficial",Attractiveness,Interests,Intelligence,Ambition,Fun,Sincerity,Chance encounters,,,,,20-21,For a relationship
10/26/2021 17:21:01,21,20-21,Female,Caucasian,"Tinder, Bumble",None,6,Yes,Not applicable,not applicable,"outdoorsy, funny, spontaneity","Sports, Going out, Staying in, Film & TV, Reading, Food & drink, Traveling, Pets, Values & traits",Not applicable,Not applicable,"Work / Job title, School / Education level, Hometown, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, If they have children, Family plans, Covid vaccine",Not applicable ,Not applicable,For a relationship,Entertainment,To meet new people,For casual hookups,"republican/not liberal, holding fish in photo, all group photos so unable to tell who you're swiping for",having to see people you know ,Fun,Interests,Intelligence,Attractiveness,Sincerity,Ambition,Dating Apps,,,,,20-21,For a relationship
10/26/2021 17:44:31,21,20-21,Female,Caucasian,Hinge,Hinge,0,No,No,not applicable,not applicable,"Creativity, Staying in, Film & TV, Reading, Pets","Smoking, Drugs",Not applicable,"School / Education level, Age, Covid vaccine",,Less than 1 hour,For a relationship,To meet new people,Entertainment,For casual hookups,Negative statements about their ex,Hard to navigate,Sincerity,Fun,Attractiveness,Interests,Intelligence,Ambition,Mutual Friends,,,,,20-21,For a relationship
10/26/2021 18:27:03,22,22-23,Female,Caucasian,"Tinder, Bumble",Bumble,2,No,No,"Hiking, swimming, cycling, dance, art ","Social justice oriented, similar interests and values ","Creativity, Reading, Music, Values & traits, Exercise ","Smoking, Marijuana, Drugs",Not applicable,"Religious beliefs, Politics, Gender / Pronouns / Sexuality, Location, If they have children, Covid vaccine",,Less than 1 hour,For a relationship,Entertainment,To meet new people,For casual hookups,White supremacist related beliefs ,"I just don’t like them, inauthentic ",Sincerity,Interests,Fun,Attractiveness,Ambition,Intelligence,Professional settings,,,,,22-23,For a relationship
10/26/2021 20:30:11,19,18-19,Female,South Asian or Indian subcontinent,"Tinder, Bumble, Hinge","Tinder, Bumble, Hinge",3,Yes,No,"foodie, dogs, movies, dance, tennis",funny answers on their bio,"Film & TV, Music, Food & drink, Traveling, Pets, Values & traits","Smoking, Drugs","Drinking, Marijuana","Work / Job title, School / Education level, Religious beliefs, Politics, Gender / Pronouns / Sexuality, Height, Ethnicity, Covid vaccine",3,Less than 1 hour,For a relationship,Entertainment,To meet new people,For casual hookups,Beliefs that are different from mine,Not clear enough what people’s intentions are,Attractiveness,Interests,Sincerity,Fun,Intelligence,Ambition,Chance encounters,,,,,18-19,For a relationship
10/26/2021 20:40:00,19,18-19,Female,Caucasian,None,None,N/A,Not applicable,Not applicable,Not applicable ,Not applicable ,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable ,Not applicable,For casual hookups,Entertainment,To meet new people,For a relationship,Not applicable ,Not applicable ,Attractiveness,Ambition,Fun,Intelligence,Interests,Sincerity,Mutual Friends,,,,,18-19,For casual hookups
10/26/2021 20:47:47,19,18-19,Male,Asian,"Tinder, Bumble, Grindr",None,10,No,No,"Video games, movies, music, TV shows, food ","Movies, video games, ","Sports, Film & TV, Music, Food & drink, Traveling","Drinking, Smoking, Marijuana, Drugs",Not applicable,"Work / Job title, School / Education level, Gender / Pronouns / Sexuality, Age, Height, Location",4,1 hour,For a relationship,Entertainment,For casual hookups,To meet new people,"No pictures of themselves, too scandalous pictures, smoking, ",That people on it usually look for hookups ,Attractiveness,Interests,Intelligence,Sincerity,Fun,Ambition,Dating Apps,,,,,18-19,For a relationship
10/26/2021 20:48:57,19,18-19,Female,South Asian or Indian subcontinent,None,None,N/A,Not applicable,Not applicable,NA,NA,"Going out, Food & drink, Traveling, Values & traits",Drugs,"Drinking, Smoking","Work / Job title, School / Education level, Politics, Age, Height, Location, Ethnicity, If they have children, Covid vaccine",Not applicable ,Not applicable,Entertainment,For a relationship,To meet new people,For casual hookups,weird,creeps,Fun,Sincerity,Intelligence,Interests,Ambition,Attractiveness,Mutual Friends,,,,,18-19,Entertainment
10/26/2021 20:51:21,19,18-19,Female,Asian,None,None,N/A,Not applicable,Not applicable,Not applicable ,Not applicable  ,"Going out, Food & drink, Values & traits",Drugs,Drinking,"Work / Job title, School / Education level, Religious beliefs, Hometown, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, If they have children, Covid vaccine",Not applicable ,Not applicable,Entertainment,For a relationship,For casual hookups,To meet new people,"Too many selfies, not vaccinated ",Very shallow ,Intelligence,Interests,Attractiveness,Fun,Sincerity,Ambition,Mutual Friends,,,,,18-19,Entertainment
10/26/2021 20:53:40,19,18-19,Female,Caucasian,None,None,N/A,Not applicable,Not applicable,Not applicable ,Not applicable,Not applicable,Not applicable,"Smoking, Drugs",Not applicable,Not applicable,Not applicable,For a relationship,For casual hookups,Entertainment,To meet new people,"Too many shirtless pics, no solo pictures",Based too much on looks,Sincerity,Ambition,Attractiveness,Interests,Fun,Intelligence,Chance encounters,,,,,18-19,For a relationship
10/26/2021 20:54:31,19,18-19,Female,"Caucasian, South Asian or Indian subcontinent","Tinder, Bumble, Hinge",Bumble,10,Yes,No,"Tennis, Environmentalism, Vegetarian, LGBTQ rights ",they seem genuine and not just looking for a hookup,"Creativity, Going out, Staying in, Film & TV, Music, Food & drink, Traveling, Pets, Values & traits",Not applicable,"Drinking, Smoking, Marijuana, Drugs","School / Education level, Gender / Pronouns / Sexuality, Age, Height, Location, Ethnicity",20,Less than 1 hour,To meet new people,Entertainment,For a relationship,For casual hookups,trying too hard to look hot,it’s really easy to lie about your info,Sincerity,Fun,Attractiveness,Interests,Intelligence,Ambition,Dating Apps,,,,,18-19,To meet new people
10/26/2021 20:58:58,19,18-19,Female,Caucasian,"Tinder, Bumble",None,13,Yes,No,not applicable,"humor, height, nationality","Creativity, Music, Traveling, Values & traits","Smoking, Marijuana, Drugs","Drinking, Smoking","Work / Job title, School / Education level, Hometown, Politics, Age, Height, Location, Ethnicity",Not applicable ,Not applicable,Entertainment,To meet new people,For casual hookups,For a relationship,"shirtless pics, say’s 420 friendly, astrology",very surface deep,Attractiveness,Fun,Interests,Intelligence,Ambition,Sincerity,Mutual Friends,,,,,18-19,Entertainment
10/26/2021 20:59:57,20,20-21,Female,South Asian or Indian subcontinent,"Tinder, Bumble, Hinge, Facebook Dating",None,8,Yes,No,not applicable at the moment but have had hiphop/ music/ dance / cooking / partying,sense of humor / carries themselves nicely / choose of clothing / how clean their look is,"Creativity, Going out, Staying in, Reading, Music, Food & drink, Traveling, Pets, Values & traits",Not applicable,"Drinking, Smoking, Marijuana, Drugs","Work / Job title, School / Education level, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, If they have children, Family plans, Covid vaccine",Not applicable ,Not applicable,Entertainment,To meet new people,For a relationship,For casual hookups,too out there / misogynistic jokes / too many selfies or naked pictures / no personality through description ,"individual purpose for apps are mixed into one group (people looking for relationships are in the same pool as people who want casual, makes it more complicated and annoying from the beginning)",Ambition,Fun,Sincerity,Intelligence,Interests,Attractiveness,Dating Apps,,,,,20-21,Entertainment
10/26/2021 21:08:56,21,20-21,Female,South Asian or Indian subcontinent,"Tinder, Bumble, Hinge",Hinge,2,Yes,No,"Dogs, bubble tea, Netflix ",Good quality photos ,"Creativity, Sports, Going out, Film & TV, Values & traits",Drugs,Drugs,"Work / Job title, School / Education level, Religious beliefs, Hometown, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, Ethnicity, If they have children, Family plans, Covid vaccine",3,Less than 1 hour,To meet new people,Entertainment,For casual hookups,For a relationship,"No vaccine, drugs, political views I don’t agree with ",Having to have a min number of photos ,Attractiveness,Interests,Intelligence,Ambition,Fun,Sincerity,Mutual Friends,,,,,20-21,To meet new people
10/26/2021 21:13:10,19,18-19,Female,Asian,Tinder,Tinder,1,Yes,No,"Photography, yoga, feminism, picknicking, music ",Their music taste or a funny caption ,"Creativity, Going out, Music, Values & traits","Smoking, Drugs","Drinking, Marijuana","Work / Job title, School / Education level, Religious beliefs, Politics, Height, Location, If they have children, Covid vaccine",5,1 hour,Entertainment,To meet new people,For a relationship,For casual hookups,Is religious or republican ,A lot of biases and people get bored easily ,Attractiveness,Sincerity,Interests,Intelligence,Fun,Ambition,Mutual Friends,,,,,18-19,Entertainment
10/26/2021 21:16:52,18,18-19,Male,Caucasian,None,None,N/A,Not applicable,Not applicable,NA,NA,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable ,Not applicable,To meet new people,Entertainment,For a relationship,For casual hookups,NA,NA,Intelligence,Interests,Sincerity,Fun,Ambition,Attractiveness,Chance encounters,,,,,18-19,To meet new people
10/26/2021 21:17:27,18,18-19,Male,Caucasian,Tinder,None,0,Not applicable,Not applicable,Na,Na,"Sports, Going out, Food & drink, Pets",Not applicable,Not applicable,"Age, Location, If they have children",Not applicable ,Not applicable,To meet new people,For a relationship,For casual hookups,Entertainment,If they like pancakes ,Don’t like them,Attractiveness,Sincerity,Fun,Ambition,Interests,Intelligence,Mutual Friends,,,,,18-19,To meet new people
10/26/2021 21:18:48,19,18-19,Male,Mixed ,None,None,0,Not applicable,Not applicable,Not applicable ,Not applicable ,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable ,Not applicable,To meet new people,For a relationship,For casual hookups,Entertainment,Not applicable ,Not applicable ,Fun,Intelligence,Interests,Sincerity,Ambition,Attractiveness,Mutual Friends,,,,,18-19,To meet new people
10/26/2021 21:19:12,18,18-19,Male,Caucasian,None,None,N/A,Not applicable,Not applicable,Not applicable ,Not applicable ,Values & traits,Drugs,Not applicable,Not applicable,Not applicable ,Not applicable,To meet new people,For a relationship,For casual hookups,Entertainment,“Loves drugs”,Easy to pretend to be someone else,Interests,Fun,Sincerity,Attractiveness,Ambition,Intelligence,"Organized events (clubs, concerts, etc.)",,,,,18-19,To meet new people
10/26/2021 21:28:27,19,18-19,Male,Caucasian,Tinder,Tinder,2,No,No,"Running,hiking,music,skiing,travel",Top Spotify artists,"Music, Food & drink, Traveling",Drugs,Drinking,"Age, Location, If they have children, Covid vaccine",3,Less than 1 hour,Entertainment,To meet new people,For casual hookups,For a relationship,Selfies/filtered pics,Horny guys,Attractiveness,Fun,Interests,Intelligence,Ambition,Sincerity,Mutual Friends,,,,,18-19,Entertainment
10/26/2021 21:44:51,20,20-21,Female,Caucasian,"Tinder, Bumble, Hinge",None,2,Yes,No,not applicable,"their music taste, responses to prompts","Creativity, Reading, Music, Food & drink",Not applicable,"Drinking, Marijuana","Politics, Age, Location, If they have children",Not applicable ,Not applicable,Entertainment,For casual hookups,For a relationship,To meet new people,"conservative, military, bad responses to prompts, hard to see what they look like, photos too similar, bad music taste",you can’t tell what someone is actually like (personality),Fun,Sincerity,Attractiveness,Interests,Intelligence,Ambition,Mutual Friends,,,,,20-21,Entertainment
10/26/2021 21:46:52,20,20-21,Female,South Asian or Indian subcontinent,None,None,N/A,Not applicable,Not applicable,Not applicable ,Not applicable ,Not applicable,Not applicable,Not applicable,Not applicable,,Not applicable,For a relationship,To meet new people,Entertainment,For casual hookups,Not applicable ,Intentions are not clear or miscommunicated at times,Sincerity,Ambition,Intelligence,Interests,Fun,Attractiveness,Mutual Friends,,,,,20-21,For a relationship
10/26/2021 22:03:19,19,18-19,Female,Caucasian,"Tinder, Hinge",None,0,Not applicable,No,Not applicable,Dog lover family person ,"Going out, Staying in, Food & drink, Traveling, Values & traits",Drugs,Not applicable,"Work / Job title, School / Education level, Religious beliefs, Gender / Pronouns / Sexuality, Age, Height, Ethnicity, If they have children",Not applicable ,Not applicable,Entertainment,For a relationship,To meet new people,For casual hookups,No descriptions ,Hook up culture,Intelligence,Attractiveness,Sincerity,Ambition,Fun,Interests,Mutual Friends,,,,,18-19,Entertainment
10/26/2021 23:10:19,19,18-19,Female,African American,Tinder,None,N/A,Not applicable,No,not applicable,"their height, what type of music they listen to, ","Going out, Food & drink, Traveling",Drugs,Drinking,"Work / Job title, School / Education level, Gender / Pronouns / Sexuality, Height, If they have children, Covid vaccine",Not applicable ,Not applicable,Entertainment,To meet new people,For a relationship,For casual hookups,Pictures with women,Quickly judging people,Intelligence,Interests,Ambition,Fun,Sincerity,Attractiveness,Chance encounters,,,,,18-19,Entertainment
10/26/2021 23:37:25,19,18-19,Female,Caucasian,"Tinder, Bumble, Hinge","Tinder, Bumble, Hinge",12,Yes,No,"Art, yoga, outdoors, secondhand apparel, walking ","Artistic, creative, smart, funny","Creativity, Values & traits",Smoking,"Drinking, Marijuana","School / Education level, Religious beliefs, Hometown, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, If they have children, Covid vaccine",20,Less than 1 hour,For a relationship,For casual hookups,Entertainment,To meet new people,Only one picture. Conservative.,U might not give someone a chance based on their bad profile even if they would be great for u in real life,Fun,Interests,Sincerity,Attractiveness,Intelligence,Ambition,Mutual Friends,,,,,18-19,For a relationship
10/26/2021 23:42:46,19,18-19,Female,Latino / Hispanic / Latinx / Latina,Tinder,None,N/A,Not applicable,Not applicable,not applicable ,not applicable ,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable ,Not applicable,To meet new people,Entertainment,For a relationship,For casual hookups,republican,"You never know who they actually are, like the could be a catfish",Attractiveness,Interests,Ambition,Fun,Sincerity,Intelligence,Mutual Friends,,,,,18-19,To meet new people
10/26/2021 23:43:59,18,18-19,Female,Caucasian,None,None,N/A,Not applicable,Not applicable,not applicable,"Athlete, dogs, cooking, baking","Creativity, Food & drink, Traveling, Pets, Values & traits","Smoking, Drugs",Drinking,"Work / Job title, School / Education level, Religious beliefs, Hometown, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, Covid vaccine",Not applicable ,Not applicable,For a relationship,Entertainment,For casual hookups,To meet new people,"Overly religious, opposing political views ","There is still a “science” behind what, when, and how to respond. ",Interests,Intelligence,Attractiveness,Fun,Ambition,Sincerity,Mutual Friends,,,,,18-19,For a relationship
10/27/2021 8:22:52,18,18-19,Female,Latino / Hispanic / Latinx / Latina,None,None,N/A,Not applicable,Not applicable,not applicable ,not applicable,"Creativity, Going out, Music, Traveling",Smoking,Not applicable,"Work / Job title, School / Education level, Hometown, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, Ethnicity, If they have children, Family plans, Covid vaccine",Not applicable ,Not applicable,To meet new people,Entertainment,For a relationship,For casual hookups,too many selfies,hookup culture,Interests,Attractiveness,Sincerity,Intelligence,Fun,Ambition,Mutual Friends,,,,,18-19,To meet new people
10/28/2021 14:07:16,19,18-19,Male,Caucasian,Tinder,None,3,Yes,No,"Politics, hiking, movies",Not applicable ,Values & traits,"Smoking, Drugs",Not applicable,"Politics, Age, Location",5,Not applicable,For casual hookups,For a relationship,Entertainment,To meet new people,Only looking for parties,Too few swipes,Fun,Attractiveness,Interests,Intelligence,Ambition,Sincerity,Mutual Friends,,,,,18-19,For casual hookups
10/28/2021 14:07:18,19,18-19,Male,Caucasian,None,None,N/A,Not applicable,Not applicable,N/ A,N/A,"Music, Values & traits",Smoking,Not applicable,"Politics, Gender / Pronouns / Sexuality, Age, Covid vaccine",,Not applicable,For casual hookups,For a relationship,To meet new people,Entertainment,"Right-wing politics, super picky bio","Difficult to get an impression of someone, promotes negative self image",Attractiveness,Sincerity,Interests,Fun,Intelligence,Ambition,Mutual Friends,,,,,18-19,For casual hookups
10/28/2021 14:14:38,21,20-21,Male,"Caucasian, African American","Tinder, Bumble, Hinge, Grindr","Tinder, Grindr",20,No,No,not applicable ,not applicable ,"Creativity, Sports, Going out, Music, Food & drink, Traveling, Values & traits",Not applicable,Not applicable,"Work / Job title, School / Education level, Religious beliefs, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, Family plans",5,Less than 1 hour,For casual hookups,For a relationship,Entertainment,To meet new people,Blurry pic ,They don’t force u to make plans ,Attractiveness,Fun,Interests,Intelligence,Ambition,Sincerity,Mutual Friends,,,,,20-21,For casual hookups
10/28/2021 14:19:09,22,22-23,Male,Caucasian,"Tinder, Hinge","Tinder, Hinge",4,Yes,No,Not applicable,None,"Creativity, Sports, Music, Pets",Not applicable,Not applicable,"School / Education level, Hometown, Gender / Pronouns / Sexuality, Age, Height, Location, If they have children, Family plans",2,1 hour,For a relationship,To meet new people,For casual hookups,Entertainment,All selfies/No personality pictures,It’s tough to focus on one person/make a connection when you can very easily move on to the next one,Fun,Interests,Attractiveness,Sincerity,Intelligence,Ambition,Mutual Friends,,,,,22-23,For a relationship
10/28/2021 14:22:09,22,22-23,Male,Caucasian,"Tinder, Bumble, Hinge",None,4,Yes,Yes,"Outdoorsy, adventurous, not big on parties","Not big partier, doesn’t smoke, STEM major","Creativity, Traveling, Values & traits","Drinking, Smoking, Marijuana, Drugs",Not applicable,"Work / Job title, School / Education level, Religious beliefs, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, Ethnicity, If they have children, Family plans, Covid vaccine",10,Less than 1 hour,For a relationship,For casual hookups,To meet new people,Entertainment,"Republican, partier, shit like “swipe left if you’re under 6’",Photoshopped and enhanced pictures,Attractiveness,Ambition,Intelligence,Interests,Fun,Sincerity,Dating Apps,,,,,22-23,For a relationship
10/28/2021 14:47:37,20,20-21,Female,"Caucasian, Latino / Hispanic / Latinx / Latina",Tinder,None,N/A,No,No,"not applicable, deleted app","not applicable, deleted app","Creativity, Going out, Staying in, Film & TV, Food & drink, Traveling","Smoking, Drugs",Not applicable,"Work / Job title, School / Education level, Politics, Age, Ethnicity, If they have children, Covid vaccine",Not applicable ,Not applicable,To meet new people,Entertainment,For casual hookups,For a relationship,not applicable ,"very shallow for me,  more based on looks than anything else ",Fun,Ambition,Attractiveness,Intelligence,Interests,Sincerity,Mutual Friends,,,,,20-21,To meet new people
10/28/2021 15:06:54,22,22-23,Male,Latino / Hispanic / Latinx / Latina,"Tinder, Bumble",Tinder,10,Yes,Yes,"Working out, grab a drink, comedy, dog lover, tattoos",If they're hot,Dont really care,Smoking,Not applicable,Gender / Pronouns / Sexuality,1,Less than 1 hour,For a relationship,For casual hookups,Entertainment,To meet new people,Ugly ,Superficial af,Attractiveness,Fun,Intelligence,Sincerity,Ambition,Interests,Mutual Friends,,,,,22-23,For a relationship
10/28/2021 15:56:58,19,18-19,Male,Caucasian,None,None,N/A,Not applicable,Not applicable,not applicable,not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable ,Not applicable,Entertainment,For a relationship,For casual hookups,To meet new people,not applicable,Not applicable,Fun,Intelligence,Interests,Attractiveness,Sincerity,Ambition,Mutual Friends,,,,,18-19,Entertainment
10/28/2021 16:43:58,19,18-19,Male,mixed asian and white ,"Tinder, Bumble",None,1,No,No,"athlete, coffee, art, music",level of hotness,"Music, Food & drink, Traveling, Pets",Republicans,Not applicable,"Politics, If they have children, Covid vaccine",6,Less than 1 hour,For casual hookups,To meet new people,For a relationship,Entertainment,republicans or super religious folks,having to pay for certain features man i’m broke ,Attractiveness,Sincerity,Fun,Interests,Intelligence,Ambition,Mutual Friends,,,,,18-19,For casual hookups
10/28/2021 17:09:53,19,18-19,Male,Caucasian,"Tinder, Bumble",Tinder,1,Not applicable,No,"Football, golf, volunteering, music, working out ",Volunteering,"Going out, Staying in, Music, Food & drink, Values & traits",Drugs,"Drinking, Smoking, Marijuana","School / Education level, Gender / Pronouns / Sexuality, Height, Location, Ethnicity, If they have children",4,Less than 1 hour,For casual hookups,For a relationship,Entertainment,To meet new people,Aggressive political statements ,Guys don’t get as many matches as girls ,Attractiveness,Fun,Intelligence,Ambition,Sincerity,Interests,Mutual Friends,,,,,18-19,For casual hookups
11/5/2021 18:48:42,22,22-23,Male,"African American, Latino / Hispanic / Latinx / Latina, Native American","Tinder, Bumble, Hinge, Grindr","Hinge, Grindr",50,Yes,No,Not applicable ,Humor,"Sports, Going out, Film & TV, Music, Food & drink, Traveling",Smoking,"Drinking, Marijuana, Drugs","Work / Job title, School / Education level, Religious beliefs, Hometown, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, Ethnicity, If they have children, Family plans, Covid vaccine",1,Less than 1 hour,For casual hookups,For a relationship,Entertainment,To meet new people,Is religious and doesn’t smoke,Starting conversations ,Attractiveness,Fun,Sincerity,Ambition,Intelligence,Interests,"Organized events (clubs, concerts, etc.)",,,,,22-23,For casual hookups
11/8/2021 12:07:34,22,22-23,Female,Caucasian,"Tinder, Bumble, Hinge",None,8,Yes,No,N/A,"funny, doesn't take themselves too seriously, good hair, pretty eyes, interesting bio or prompt that makes it easy to start a conversation","Going out, Staying in, Film & TV, Food & drink, Values & traits","Smoking, Drugs",Drinking,"Politics, Age, Height, Location, If they have children, Covid vaccine",10,Less than 1 hour,Entertainment,For a relationship,For casual hookups,To meet new people,"conservative, only talks about politics in their prompt (even if they align with my beliefs), gives really generic answers, has a shirtless mirror selfie, only has pictures with sunglasses or hats, only has group pictures that make it hard to tell which one they are","the way they've been monetized. For example, with Hinge they have ""standouts"" and you have to pay to like more than one per week, but they know that these people are your type.",Fun,Attractiveness,Intelligence,Interests,Sincerity,Ambition,Chance encounters,,,,,22-23,Entertainment